gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,tenure_group,num_services,Segment,Segment_Name,Assigned_Intervention,CLV,Churn_Probability,High_Risk,Intervention_Cost,intervention_cost,baseline_loss,prevented_loss,net_benefit
Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,1,4+ years,6,1,Loyal Champions,premium_support,1244.4,0.40806592,False,0,0.0,0.0,0.0,0.0
Male,0,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,0,2-4 years,6,3,At-Risk Newcomers,feature_tutorial,1266.0,0.4224974,False,0,0.0,0.0,0.0,0.0
Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,0,4+ years,8,1,Loyal Champions,premium_support,1359.0,0.36443496,False,0,0.0,0.0,0.0,0.0
Female,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,0,4+ years,1,2,Budget Conscious,discount_10,247.79999999999998,0.3588839,False,0,0.0,0.0,0.0,0.0
Male,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,0,4+ years,6,1,Loyal Champions,premium_support,1280.4,0.35551143,False,0,0.0,0.0,0.0,0.0
Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,1,0-1 year,3,0,Segment 0,discount_20,662.4000000000001,0.45967948,False,0,0.0,0.0,0.0,0.0
Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,0,1-2 years,4,3,At-Risk Newcomers,feature_tutorial,1080.6,0.43427083,False,0,0.0,0.0,0.0,0.0
Male,1,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,1,0-1 year,2,0,Segment 0,discount_20,475.79999999999995,0.7275,True,0,0.0,346.14451020956034,103.84335306286809,103.84335306286809
Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,0,0-1 year,1,2,Budget Conscious,discount_10,237.60000000000002,0.44664416,False,0,0.0,0.0,0.0,0.0
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,1,0-1 year,1,2,Budget Conscious,discount_10,241.79999999999998,0.6668207,True,0,0.0,161.23724645376205,24.185586968064314,24.185586968064314
Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,0,4+ years,4,1,Loyal Champions,premium_support,718.8,0.35866022,False,0,0.0,0.0,0.0,0.0
Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,0,4+ years,4,0,Segment 0,discount_20,715.2,0.3986972,False,0,0.0,0.0,0.0,0.0
Female,0,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,0,2-4 years,3,0,Segment 0,discount_20,663.5999999999999,0.3950985,False,0,0.0,0.0,0.0,0.0
Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,1,2-4 years,5,1,Loyal Champions,premium_support,1192.1999999999998,0.4044178,False,0,0.0,0.0,0.0,0.0
Male,0,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,1,0-1 year,1,0,Segment 0,discount_20,362.4,0.696823,True,0,0.0,252.5286555290222,75.75859665870667,75.75859665870667
Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,0,4+ years,8,1,Loyal Champions,premium_support,1083.0,0.33763394,False,0,0.0,0.0,0.0,0.0
Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,1,1-2 years,3,0,Segment 0,discount_20,776.4000000000001,0.42539832,False,0,0.0,0.0,0.0,0.0
Female,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,0,4+ years,6,1,Loyal Champions,premium_support,1156.1999999999998,0.36650053,False,0,0.0,0.0,0.0,0.0
Male,1,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,0,0-1 year,4,3,At-Risk Newcomers,feature_tutorial,1146.0,0.6888807,True,0,0.0,789.4572615623474,157.89145231246948,157.89145231246948
Female,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,0,2-4 years,5,0,Segment 0,discount_20,793.8000000000001,0.3801834,False,0,0.0,0.0,0.0,0.0
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,0,0-1 year,1,2,Budget Conscious,discount_10,242.39999999999998,0.6643666,True,0,0.0,161.0424645423889,24.156369681358342,24.156369681358342
Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,0,0-1 year,1,0,Segment 0,discount_20,543.0,0.7262015,True,0,0.0,394.32740074396133,118.29822022318842,118.29822022318842
Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,0,4+ years,6,1,Loyal Champions,premium_support,1198.8000000000002,0.35287887,False,0,0.0,0.0,0.0,0.0
Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,1,0-1 year,1,3,At-Risk Newcomers,feature_tutorial,836.4000000000001,0.5696451,True,0,0.0,476.4511673212052,95.29023346424106,95.29023346424106
Female,0,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,0,2-4 years,2,3,At-Risk Newcomers,feature_tutorial,897.5999999999999,0.38038272,False,0,0.0,0.0,0.0,0.0
Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,1,2-4 years,6,1,Loyal Champions,premium_support,1276.1999999999998,0.40638125,False,0,0.0,0.0,0.0,0.0
Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,1,0-1 year,5,3,At-Risk Newcomers,feature_tutorial,1174.1999999999998,0.5111199,True,0,0.0,600.1569890856742,120.03139781713486,120.03139781713486
Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,0,0-1 year,2,0,Segment 0,discount_20,594.5999999999999,0.45967948,False,0,0.0,0.0,0.0,0.0
Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,0,4+ years,5,1,Loyal Champions,premium_support,830.4000000000001,0.34289017,False,0,0.0,0.0,0.0,0.0
Female,0,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,0,1-2 years,1,2,Budget Conscious,discount_10,249.0,0.38693362,False,0,0.0,0.0,0.0,0.0
Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,0,4+ years,7,1,Loyal Champions,premium_support,958.1999999999999,0.3391721,False,0,0.0,0.0,0.0,0.0
Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,0,1-2 years,6,3,At-Risk Newcomers,feature_tutorial,914.4000000000001,0.43860194,False,0,0.0,0.0,0.0,0.0
Female,0,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,0,4+ years,3,3,At-Risk Newcomers,feature_tutorial,1014.0,0.38803935,False,0,0.0,0.0,0.0,0.0
Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,0,0-1 year,2,0,Segment 0,discount_20,591.0,0.6643418,True,0,0.0,392.62600815296173,117.78780244588853,117.78780244588853
Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,1,0-1 year,2,3,At-Risk Newcomers,feature_tutorial,967.8000000000001,0.64808273,True,0,0.0,627.2144691467286,125.44289382934562,125.44289382934562
Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,0,4+ years,6,1,Loyal Champions,premium_support,957.0,0.36257055,False,0,0.0,0.0,0.0,0.0
Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,0,4+ years,5,1,Loyal Champions,premium_support,769.8000000000001,0.34987187,False,0,0.0,0.0,0.0,0.0
Female,1,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,0,2-4 years,4,3,At-Risk Newcomers,feature_tutorial,1083.0,0.4361493,False,0,0.0,0.0,0.0,0.0
Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,1,1-2 years,5,3,At-Risk Newcomers,feature_tutorial,1189.1999999999998,0.46377674,False,0,0.0,0.0,0.0,0.0
Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,0,2-4 years,5,0,Segment 0,discount_20,834.0,0.41756848,False,0,0.0,0.0,0.0,0.0
Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,1,0-1 year,3,3,At-Risk Newcomers,feature_tutorial,967.8000000000001,0.53348696,True,0,0.0,516.3086821317673,103.26173642635342,103.26173642635342
Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,0,4+ years,6,1,Loyal Champions,premium_support,898.1999999999999,0.38074282,False,0,0.0,0.0,0.0,0.0
Male,1,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,1,1-2 years,4,3,At-Risk Newcomers,feature_tutorial,1145.4,0.46456775,False,0,0.0,0.0,0.0,0.0
Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,0,4+ years,5,1,Loyal Champions,premium_support,1195.8000000000002,0.36609197,False,0,0.0,0.0,0.0,0.0
Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,0,4+ years,7,1,Loyal Champions,premium_support,1301.4,0.38711128,False,0,0.0,0.0,0.0,0.0
Female,0,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,0,2-4 years,2,2,Budget Conscious,discount_10,299.4,0.38407373,False,0,0.0,0.0,0.0,0.0
Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,0,4+ years,6,1,Loyal Champions,premium_support,1290.0,0.35181525,False,0,0.0,0.0,0.0,0.0
Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,0,2-4 years,5,1,Loyal Champions,premium_support,1206.0,0.4044178,False,0,0.0,0.0,0.0,0.0
Male,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,0,4+ years,4,1,Loyal Champions,premium_support,1078.8000000000002,0.356395,False,0,0.0,0.0,0.0,0.0
Male,0,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962.0,0,4+ years,3,0,Segment 0,discount_20,505.20000000000005,0.3494123,False,0,0.0,0.0,0.0,0.0
Female,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,0,1-2 years,3,0,Segment 0,discount_20,652.8,0.43111908,False,0,0.0,0.0,0.0,0.0
Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,1,0-1 year,4,3,At-Risk Newcomers,feature_tutorial,1132.8000000000002,0.5442145,True,0,0.0,616.4861709594727,123.29723419189446,123.29723419189446
Female,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,0,0-1 year,5,0,Segment 0,discount_20,903.5999999999999,0.58898145,True,0,0.0,532.2036378622055,159.66109135866168,159.66109135866168
Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,0,2-4 years,3,1,Loyal Champions,premium_support,946.8000000000001,0.3788823,False,0,0.0,0.0,0.0,0.0
Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,0,2-4 years,6,1,Loyal Champions,premium_support,950.4000000000001,0.39700302,False,0,0.0,0.0,0.0,0.0
Female,0,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,0,4+ years,1,2,Budget Conscious,discount_10,241.79999999999998,0.36090645,False,0,0.0,0.0,0.0,0.0
Male,0,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,0,0-1 year,3,3,At-Risk Newcomers,feature_tutorial,958.1999999999999,0.49146318,False,0,0.0,0.0,0.0,0.0
Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,0,0-1 year,2,0,Segment 0,discount_20,588.5999999999999,0.70006555,True,0,0.0,412.0585846066474,123.61757538199424,123.61757538199424
Female,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,0,4+ years,1,2,Budget Conscious,discount_10,244.79999999999998,0.3588839,False,0,0.0,0.0,0.0,0.0
Male,1,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099.0,0,4+ years,7,1,Loyal Champions,premium_support,1339.1999999999998,0.3912386,False,0,0.0,0.0,0.0,0.0
Male,0,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,0,4+ years,2,2,Budget Conscious,discount_10,291.0,0.32436317,False,0,0.0,0.0,0.0,0.0
Female,0,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,0,0-1 year,4,0,Segment 0,discount_20,774.0,0.596156,True,0,0.0,461.42474484443665,138.42742345333102,138.42742345333102
Female,1,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,0,4+ years,7,1,Loyal Champions,premium_support,1326.0,0.40608796,False,0,0.0,0.0,0.0,0.0
Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,0,2-4 years,2,0,Segment 0,discount_20,667.8,0.4016103,False,0,0.0,0.0,0.0,0.0
Female,0,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,0,0-1 year,3,0,Segment 0,discount_20,655.8,0.47961542,False,0,0.0,0.0,0.0,0.0
Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,0,2-4 years,5,0,Segment 0,discount_20,897.0,0.42492813,False,0,0.0,0.0,0.0,0.0
Female,0,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,0,2-4 years,2,2,Budget Conscious,discount_10,310.79999999999995,0.39974698,False,0,0.0,0.0,0.0,0.0
Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,1,0-1 year,2,3,At-Risk Newcomers,feature_tutorial,952.1999999999999,0.7038675,True,0,0.0,670.2226287961006,134.04452575922016,134.04452575922016
Female,0,Yes,Yes,11,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,0,0-1 year,3,0,Segment 0,discount_20,606.5999999999999,0.456935,False,0,0.0,0.0,0.0,0.0
Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,1,0-1 year,2,3,At-Risk Newcomers,feature_tutorial,901.8000000000001,0.4957107,False,0,0.0,0.0,0.0,0.0
Female,0,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,0,2-4 years,6,1,Loyal Champions,premium_support,1245.6,0.4112667,False,0,0.0,0.0,0.0,0.0
Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,0,4+ years,1,2,Budget Conscious,discount_10,241.79999999999998,0.36847153,False,0,0.0,0.0,0.0,0.0
Male,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,0,0-1 year,5,3,At-Risk Newcomers,feature_tutorial,1191.6,0.5461593,True,0,0.0,650.8034540891647,130.16069081783291,130.16069081783291
Female,0,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,0,2-4 years,3,0,Segment 0,discount_20,745.8,0.393871,False,0,0.0,0.0,0.0,0.0
Female,0,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057.0,0,2-4 years,1,2,Budget Conscious,discount_10,247.79999999999998,0.36847153,False,0,0.0,0.0,0.0,0.0
Female,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,927.1,0,2-4 years,1,2,Budget Conscious,discount_10,239.39999999999998,0.36933365,False,0,0.0,0.0,0.0,0.0
Male,0,Yes,No,29,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,0,2-4 years,1,0,Segment 0,discount_20,405.0,0.4122812,False,0,0.0,0.0,0.0,0.0
Male,0,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,0,2-4 years,3,3,At-Risk Newcomers,feature_tutorial,984.5999999999999,0.40039483,False,0,0.0,0.0,0.0,0.0
Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,0,0-1 year,2,3,At-Risk Newcomers,feature_tutorial,896.4000000000001,0.7115488,True,0,0.0,637.8323490142823,127.56646980285643,127.56646980285643
Male,0,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,5714.25,0,4+ years,7,1,Loyal Champions,premium_support,1008.0,0.35075426,False,0,0.0,0.0,0.0,0.0
Female,0,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,0,4+ years,7,1,Loyal Champions,premium_support,1332.6,0.3631397,False,0,0.0,0.0,0.0,0.0
Male,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,0,4+ years,6,1,Loyal Champions,premium_support,1210.8000000000002,0.35287887,False,0,0.0,0.0,0.0,0.0
Female,0,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,1,0-1 year,3,3,At-Risk Newcomers,feature_tutorial,947.4000000000001,0.4566925,False,0,0.0,0.0,0.0,0.0
Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,4748.7,0,4+ years,5,1,Loyal Champions,premium_support,802.1999999999999,0.3381681,False,0,0.0,0.0,0.0,0.0
Male,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,1,0-1 year,1,2,Budget Conscious,discount_10,252.60000000000002,0.5829391,True,0,0.0,147.2504137158394,22.08756205737589,22.08756205737589
Male,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.0,1107.2,0,4+ years,1,2,Budget Conscious,discount_10,252.0,0.36130247,False,0,0.0,0.0,0.0,0.0
Female,1,Yes,No,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,1,2-4 years,5,3,At-Risk Newcomers,feature_tutorial,1182.0,0.44971144,False,0,0.0,0.0,0.0,0.0
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,20.2,0,0-1 year,1,2,Budget Conscious,discount_10,242.39999999999998,0.6643666,True,0,0.0,161.0424645423889,24.156369681358342,24.156369681358342
Female,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.45,19.45,0,0-1 year,1,2,Budget Conscious,discount_10,233.39999999999998,0.6584753,True,0,0.0,153.68813030719755,23.053219546079646,23.053219546079646
Male,0,No,No,38,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),95.0,3605.6,0,2-4 years,5,1,Loyal Champions,premium_support,1140.0,0.3980083,False,0,0.0,0.0,0.0,0.0
